order_id,retailer_id,product_id,quantity,price,order_ts
1,59,811,1,28.52,2024-10-27T23:06:52.820455
2,181,1029,1,54.1,2024-10-26T03:07:01.820455
3,317,1029,3,54.1,2024-10-07T16:43:42.820455
4,417,399,1,30.22,2024-12-03T21:16:35.820455
5,471,345,1,22.72,2024-11-28T08:49:10.820455
6,303,1113,1,66.42,2024-10-17T13:31:57.820455
6,303,1047,1,55.8,2024-10-17T13:31:57.820455
7,345,359,1,42.87,2024-10-07T15:19:25.820455
8,161,1704,1,80.46,2025-06-20T14:44:17.820455
9,123,1903,1,84.65,2024-10-07T21:33:55.820455
10,60,189,1,16.82,2025-01-09T17:06:41.820455
11,192,1291,1,45.19,2024-10-26T15:35:37.820455
12,262,1740,1,130.12,2024-10-03T00:35:25.820455
12,262,1229,1,71.6,2024-10-03T00:35:25.820455
13,215,1414,1,187.17,2024-12-28T08:09:43.820455
14,71,822,1,102.26,2025-01-17T07:22:29.820455
14,71,1667,1,14.89,2025-01-17T07:22:29.820455
15,197,1664,1,20.36,2024-10-10T01:50:57.820455
16,96,1583,1,14.69,2024-11-16T04:09:57.820455
17,326,1262,3,35.19,2024-09-27T06:00:44.820455
18,356,349,1,18.64,2024-10-15T09:56:24.820455
19,477,334,1,19.26,2024-10-15T16:45:15.820455
19,477,1184,1,9.43,2024-10-15T16:45:15.820455
20,285,550,1,20.43,2024-10-25T16:31:20.820455
21,251,1550,1,88.37,2025-04-11T20:57:47.820455
22,72,1558,1,17.42,2024-09-30T17:15:32.820455
23,162,983,1,15.28,2024-11-20T02:52:02.820455
24,318,1391,1,47.85,2024-11-03T12:23:55.820455
25,444,755,1,15.49,2024-10-20T23:31:08.820455
26,488,1895,1,30.86,2024-11-20T10:47:45.820455
26,488,911,1,25.89,2024-11-20T10:47:45.820455
27,249,1389,1,33.97,2024-10-03T15:25:04.820455
27,249,1463,1,28.02,2024-10-03T15:25:04.820455
27,249,43,1,30.19,2024-10-03T15:25:04.820455
28,100,260,1,61.54,2025-06-09T00:25:33.820455
29,494,1845,1,37.63,2024-10-13T06:53:36.820455
29,494,444,1,30.84,2024-10-13T06:53:36.820455
29,494,1391,1,47.85,2024-10-13T06:53:36.820455
30,259,77,1,35.5,2024-10-17T10:13:28.820455
31,254,705,1,9.53,2024-11-09T01:20:35.820455
32,351,1322,1,50.59,2024-10-02T04:21:00.820455
33,213,1527,1,149.56,2024-10-08T02:36:25.820455
34,251,675,1,10.74,2024-12-01T16:32:11.820455
34,251,478,1,42.48,2024-12-01T16:32:11.820455
35,43,817,1,41.0,2024-12-22T07:01:56.820455
36,16,1886,1,41.44,2024-11-11T18:28:34.820455
36,16,469,1,21.66,2024-11-11T18:28:34.820455
37,150,1642,1,102.49,2024-09-28T11:38:14.820455
38,141,1105,1,80.36,2024-11-15T18:37:59.820455
39,276,350,1,27.92,2025-01-10T20:57:25.820455
40,87,1982,1,10.98,2024-11-02T03:05:51.820455
41,290,1855,2,73.73,2024-12-27T04:28:50.820455
42,282,1900,1,26.14,2024-10-10T05:02:41.820455
43,58,242,1,30.21,2024-10-26T07:17:55.820455
44,59,38,1,6.91,2024-12-02T20:12:01.820455
45,397,535,1,19.66,2024-12-07T06:13:15.820455
46,422,1179,1,15.02,2024-10-10T23:48:14.820455
47,278,1874,1,61.79,2024-11-17T11:57:42.820455
48,390,1451,1,42.4,2024-12-11T02:30:59.820455
49,280,1275,1,87.4,2024-12-30T18:24:13.820455
50,218,612,1,31.68,2024-10-06T14:10:32.820455
50,218,840,1,27.91,2024-10-06T14:10:32.820455
51,377,1765,1,27.2,2024-09-30T10:14:47.820455
52,385,1596,1,14.76,2024-11-07T19:27:33.820455
52,385,563,1,66.48,2024-11-07T19:27:33.820455
53,153,875,1,32.25,2024-10-15T11:37:13.820455
53,153,862,1,9.85,2024-10-15T11:37:13.820455
54,231,1615,1,28.66,2024-10-07T20:00:56.820455
55,179,458,1,14.47,2024-11-13T13:36:50.820455
55,179,977,1,23.06,2024-11-13T13:36:50.820455
56,225,1027,1,34.14,2024-10-23T14:43:15.820455
57,398,1074,1,11.87,2025-02-08T19:04:25.820455
57,398,1017,1,19.67,2025-02-08T19:04:25.820455
58,108,1862,1,63.35,2024-11-13T07:51:09.820455
58,108,201,1,44.09,2024-11-13T07:51:09.820455
59,353,970,2,10.54,2024-11-06T23:12:46.820455
59,353,558,1,23.43,2024-11-06T23:12:46.820455
59,353,513,1,27.35,2024-11-06T23:12:46.820455
60,441,489,1,127.7,2024-11-04T08:39:57.820455
60,441,645,1,27.21,2024-11-04T08:39:57.820455
61,324,1242,1,28.14,2025-01-06T02:02:09.820455
62,85,1336,1,25.29,2024-10-03T08:52:49.820455
63,72,554,1,40.59,2025-01-18T17:58:11.820455
64,417,953,2,12.17,2024-10-11T17:58:53.820455
65,413,1134,1,47.6,2024-11-12T12:36:29.820455
66,292,1220,1,184.22,2024-10-18T23:13:11.820455
67,273,773,1,54.92,2024-10-23T20:40:51.820455
67,273,1860,1,40.78,2024-10-23T20:40:51.820455
68,306,1664,1,20.36,2024-10-10T06:03:46.820455
69,87,1934,1,30.42,2024-10-13T22:13:50.820455
70,361,241,1,17.57,2024-12-18T21:06:05.820455
70,361,1521,2,87.96,2024-12-18T21:06:05.820455
71,149,298,1,42.34,2024-09-28T07:17:58.820455
71,149,1679,1,73.6,2024-09-28T07:17:58.820455
71,149,1786,1,10.32,2024-09-28T07:17:58.820455
72,137,1845,1,37.63,2024-11-22T05:10:34.820455
73,461,1841,1,29.88,2025-07-13T13:54:50.820455
74,70,549,1,44.56,2025-02-10T01:25:57.820455
75,471,1680,1,23.45,2024-11-27T12:36:19.820455
76,142,1742,1,28.93,2024-09-27T10:19:38.820455
77,65,856,1,20.98,2024-12-01T15:16:41.820455
78,128,1423,1,24.73,2025-01-09T15:46:17.820455
79,365,1316,1,11.59,2024-10-05T22:10:26.820455
80,425,982,1,46.54,2024-10-23T19:27:36.820455
